Gene ID,log2FC,p-value,Significant
GRM2,-1.043012293,3.53E-05,Yes
NOTCH2NLR,1.16512353,3.56E-05,Yes
RGS4,-1.260710974,3.59E-05,Yes
RIMOC1,0.404424603,3.62E-05,Yes
TMEM167B,0.280631119,3.63E-05,Yes
LOC107985303,-1.284407239,3.64E-05,Yes
BEND7,0.81781319,3.66E-05,Yes
FLJ33534,-0.898738983,3.69E-05,Yes
GRM5P1,-1.587993622,3.75E-05,Yes
SPR,1.708202339,3.82E-05,Yes
NRSN2,-0.456551393,3.84E-05,Yes
PRIMPOL,0.643167899,3.85E-05,Yes
CPO,-0.485498034,3.86E-05,Yes
KLF10,-0.818493879,3.90E-05,Yes
RNF112,-0.790288495,3.92E-05,Yes
FHL1,0.393514067,4.00E-05,Yes
ACAP3,-0.487867026,4.03E-05,Yes
AS3MT,0.917905315,4.05E-05,Yes
KCNN4,1.062715024,4.05E-05,Yes
STX1A,-0.910011499,4.06E-05,Yes
DAGLA,-0.887513242,4.08E-05,Yes
LCA5,0.643139842,4.13E-05,Yes
THY1,-0.638113042,4.13E-05,Yes
HSPA1B,2.985318632,4.16E-05,Yes
SLC35C1,-0.449857872,4.22E-05,Yes
PRSS23,0.460165596,4.24E-05,Yes
HSPB1,3.081027696,4.27E-05,Yes
MAST3,-0.604739047,4.30E-05,Yes
CMBL,0.467499119,4.31E-05,Yes
CDK10,-0.590746448,4.39E-05,Yes
GBAP1,-0.474971275,4.53E-05,Yes
SLC36A1,-1.246633581,4.53E-05,Yes
HSPA1A,3.050194448,4.57E-05,Yes
TMEM121B,-1.029179587,4.58E-05,Yes
FBXO10,-0.613156652,4.60E-05,Yes
LINC02939,1.278647813,4.66E-05,Yes
COLGALT2,-0.532765654,4.69E-05,Yes
DIRAS2,-1.064276704,4.73E-05,Yes
CHRNA4,-0.696036472,4.74E-05,Yes
IL6ST,0.852121745,4.75E-05,Yes
ANO3,-1.320328353,4.75E-05,Yes
GALNT4,0.999319204,4.77E-05,Yes
ABCF1,-0.418789704,4.94E-05,Yes
BCL2L11,0.486668058,4.97E-05,Yes
ANKRD26,-0.804422775,5.12E-05,Yes
SDHAF3,0.544795368,5.21E-05,Yes
TATDN2,-0.348152334,5.24E-05,Yes
ARX,0.463341176,5.39E-05,Yes
SLC1A5,2.402065722,5.43E-05,Yes
RETREG3,-0.314322988,5.46E-05,Yes
FMO5,0.424233906,5.56E-05,Yes
SLC8A3,-0.761860122,5.56E-05,Yes
CANX,0.443070128,5.59E-05,Yes
LTA4H,0.27039315,5.74E-05,Yes
CA8,0.744191729,5.87E-05,Yes
NEMP2,-0.732266809,5.88E-05,Yes
CPNE9,-1.239212578,5.98E-05,Yes
BHLHE41,0.542147126,5.99E-05,Yes
LOC440311,0.778517216,6.00E-05,Yes
OBSCN-AS1,-1.561688056,6.05E-05,Yes
HVCN1,1.754781778,6.20E-05,Yes
VIP,-1.126981621,6.21E-05,Yes
WLS,0.869663027,6.37E-05,Yes
HMGN4,0.326359823,6.41E-05,Yes
RHOBTB3,1.385878616,6.46E-05,Yes
TCF7,1.052353789,6.48E-05,Yes
DLK2,-1.098676806,6.51E-05,Yes
POC1B-GALNT4,0.907438856,6.59E-05,Yes
DIO3,1.428185542,6.68E-05,Yes
CHRNA2,-1.370984186,6.76E-05,Yes
NUTM2A,-0.72872643,6.91E-05,Yes
MIR4453HG,1.132412561,6.97E-05,Yes
ADAMTS5,-0.861058499,7.01E-05,Yes
LIPH,-1.558863826,7.05E-05,Yes
TMEM116,0.627300492,7.06E-05,Yes
TFAP4,0.696432576,7.06E-05,Yes
LRRC3,1.235991527,7.09E-05,Yes
PRPH2,-1.365519537,7.15E-05,Yes
FCGR3B,2.076917186,7.26E-05,Yes
HLA-F-AS1,1.313096262,7.28E-05,Yes
RBM5-AS1,-1.044319842,7.31E-05,Yes
EPB41,0.80005913,7.67E-05,Yes
OTUD3,-0.603901102,7.71E-05,Yes
FBXO4,0.369281022,7.72E-05,Yes
SMIM43,-1.028549517,7.76E-05,Yes
ANO6,0.849993772,7.83E-05,Yes
PDHB,-0.374024379,7.84E-05,Yes
KCNA1,-1.131513947,7.93E-05,Yes
RPL23AP82,0.492187406,7.94E-05,Yes
TCTN1,0.911622881,8.04E-05,Yes
LOC100287387,-1.570659624,8.06E-05,Yes
ZNF557,-0.5892781,8.07E-05,Yes
PLCH2,-0.856769062,8.09E-05,Yes
ICAM1,2.123582407,8.09E-05,Yes
FREM3,-2.420515487,8.11E-05,Yes
CXADR,-0.515204904,8.11E-05,Yes
PCNX2,-0.746190024,8.15E-05,Yes
LINC01088,1.449762047,8.16E-05,Yes
SH2D7,1.727816968,8.23E-05,Yes
NAT14,-0.637565837,8.54E-05,Yes
GPR26,-1.249161192,8.66E-05,Yes
SYTL4,1.470497502,8.75E-05,Yes
LINC00623,0.724167486,8.84E-05,Yes
PRDM2,-0.888579048,9.00E-05,Yes
MYSM1,-1.099278717,9.06E-05,Yes
CACNA1H,-0.91990554,9.13E-05,Yes
SLC25A45,-0.730227237,9.18E-05,Yes
NPAS4,-1.563745283,9.20E-05,Yes
FAM225B,1.749826944,9.39E-05,Yes
FCGR3A,2.432401578,9.45E-05,Yes
LRRC55,-1.13564231,9.47E-05,Yes
FLRT1,-0.820885269,9.53E-05,Yes
LNCBRM,-0.981691725,9.54E-05,Yes
GBP2,1.684953692,9.61E-05,Yes
ALPK3,-0.821797783,9.61E-05,Yes
ADGRL1,-0.482515179,9.69E-05,Yes
RIMKLA,-0.902542922,9.78E-05,Yes
H2AJ,0.833002127,9.79E-05,Yes
LINC01164,-1.825961497,9.84E-05,Yes
ANGPT1,1.421721471,9.94E-05,Yes
PKN1,0.883679365,9.97E-05,Yes
SLC44A3,1.519322622,0.000101501,Yes
KCNC3,-1.077434224,0.00010252,Yes
STYX,0.591103109,0.000103727,Yes
NCALD,-0.965009811,0.00010402,Yes
TMEM176A,1.70802064,0.00010405,Yes
GRAMD2B,1.395124876,0.000104117,Yes
KCNJ9,-0.734155819,0.000104368,Yes
ETV3,-0.522290593,0.000104405,Yes
RPLP0,0.906426087,0.000104942,Yes
AREL1,-0.655330958,0.000107965,Yes
MARK2,-0.488864472,0.000109226,Yes
ID3,1.841801354,0.000109785,Yes
BTG1,0.745623533,0.000111605,Yes
LINC00645,2.112978033,0.000111657,Yes
DSC2,1.110645111,0.000112797,Yes
ANXA2,1.360149948,0.000114067,Yes
ZNF341,-0.598431101,0.00011552,Yes
KCNK3,-0.670877923,0.000116765,Yes
CYP26B1,-1.526268293,0.000117423,Yes
CD163,1.714952502,0.000117822,Yes
TONSL,-0.726382413,0.000119152,Yes
GCNT4,-0.993049836,0.000119376,Yes
TRIM17,-0.670401574,0.000121202,Yes
RGS5,-0.655217585,0.000121769,Yes
TOX,0.506069238,0.000123371,Yes
CTDP1,-0.466489869,0.00012365,Yes
TAB2,0.5845716,0.000129615,Yes
PRKCQ,-0.922568627,0.000129964,Yes
PPARGC1B,-0.797012008,0.000130058,Yes
LINC01411,2.24633633,0.000130464,Yes
HNRNPC,0.393255918,0.000130501,Yes
RNF152,-0.732626595,0.00013098,Yes
BPGM,0.268059927,0.0001312,Yes
DZIP1,0.514862297,0.000132322,Yes
FCGBP,2.768662106,0.000132656,Yes
PPIL4,0.553538847,0.00013272,Yes
FCGR1CP,2.339754316,0.000132833,Yes
LRRK2,-0.640166274,0.000134433,Yes
SLC7A2,1.179113335,0.000136612,Yes
PAK5,-0.851707107,0.000137729,Yes
BCAR3,1.211230401,0.000138434,Yes
NUPR1,2.084902811,0.000139233,Yes
HMCN1,-1.117192787,0.000139547,Yes
TGFBR3,0.935711456,0.000141411,Yes
DTX4,-0.647242678,0.000142307,Yes
HSPB8,1.473237356,0.000142471,Yes
DCAF12,0.444761501,0.000144458,Yes
SRI-AS1,0.760763728,0.000144817,Yes
HLA-DRA,1.503827331,0.000147601,Yes
RPL15,0.457407824,0.000149569,Yes
PDE1C,-0.961139728,0.000150184,Yes
MARCHF3,1.228811974,0.000152027,Yes
IQCG,0.376561459,0.000152892,Yes
LINC00473,-1.427970749,0.000153293,Yes
ERBB2,1.113302573,0.000154467,Yes
JCAD,-0.701437682,0.00015502,Yes
IVNS1ABP,-0.373109766,0.000157861,Yes
HECW2,-1.004364047,0.000157886,Yes
NAV3,-0.659209537,0.000160432,Yes
EBPL,0.748275663,0.000160462,Yes
SLC35E2A,-0.498159435,0.000161327,Yes
LOC100996664,1.455224137,0.000161474,Yes
DLGAP1-AS4,-0.997435989,0.000161535,Yes
NSG2,-0.802058394,0.00016214,Yes
MYADM,-0.619970186,0.000162309,Yes
BMAL2,-0.630311895,0.000162605,Yes
PARD3,1.23749277,0.000163307,Yes
NPM2,-0.778745977,0.000163548,Yes
CANT1,-0.461938844,0.000163592,Yes
DNAJB1,2.277022405,0.000164267,Yes
PPP1CC,0.499742043,0.000165183,Yes
MEIS3P1,0.630675592,0.00016559,Yes
TMEM121,-0.536209519,0.000165672,Yes
FKBP14,0.580079717,0.000165817,Yes
CHL1-AS2,-0.582274454,0.000165836,Yes
ADTRP,-1.203333654,0.000166014,Yes
LOC105374898,-0.543390294,0.00016684,Yes
CCDC184,-0.831147891,0.000170535,Yes
SNAI3-AS1,-0.634345981,0.000171859,Yes
FLNA,1.074191235,0.000172255,Yes
CHI3L1,3.44302655,0.000176449,Yes
ZBTB18,-0.498034713,0.000176556,Yes
DHRS3,1.260473876,0.000176728,Yes
TMEM266,-0.766459345,0.000177608,Yes
MAP3K5,0.416301445,0.000178231,Yes
HAR1A,-0.621311079,0.000178798,Yes
RPL23,0.665255884,0.000179246,Yes
CACNA1G,-1.324849835,0.000179287,Yes
HEBP2,1.360394955,0.00017955,Yes
CYP1A1,-1.271823,0.000180468,Yes
RASGRF1,-1.300022445,0.000180613,Yes
ADAMTS15,-0.965453658,0.000182482,Yes
CELSR2,-0.802575768,0.00018285,Yes
LOC101928216,-1.101786651,0.000183563,Yes
ST8SIA5-DT,-0.904635534,0.000184628,Yes
SYT12,-0.718179595,0.000184901,Yes
ST13,0.68378047,0.000185676,Yes
WSB2,-0.497038195,0.000185833,Yes
ZNRF1,-0.435205599,0.000186341,Yes
LY96,1.225240364,0.000186455,Yes
DRAM2,0.655530797,0.000188396,Yes
PLEC,0.548700219,0.000189006,Yes
TTL,-0.671047484,0.000189631,Yes
RBM43,0.547327014,0.000191153,Yes
LOC101928338,-1.252711842,0.000192219,Yes
CACNA1A,-0.66768993,0.000192393,Yes
EFR3B,-0.597727314,0.000193123,Yes
LRTM2,-1.193543335,0.000194444,Yes
KCNV1,-1.382106646,0.000194706,Yes
THAP10,0.519995581,0.00019496,Yes
HMGN2,0.579018568,0.000196695,Yes
LINC02777,0.782462066,0.000196962,Yes
NIPA1,-0.763788301,0.000198041,Yes
DNAJB5,-0.653813987,0.000199522,Yes
REPS1,0.457500814,0.000199712,Yes
HNRNPA1L2,0.318246899,0.0001999,Yes
LYZ,1.332167055,0.000200484,Yes
PROSER3,-0.467227304,0.000201336,Yes
TNFAIP3,1.201041309,0.000202023,Yes
GMNN,1.431551155,0.000202761,Yes
AHCYL1,1.095152802,0.000203585,Yes
PACSIN2,0.468017294,0.000203726,Yes
UNC13A,-1.173483718,0.000207759,Yes
EIF3F,0.440442971,0.000208954,Yes
LINC02217,-0.960427804,0.00021098,Yes
N4BP3,-0.775315615,0.000212552,Yes
FBXW7,-0.532167695,0.000212945,Yes
B4GALNT1,-0.683977083,0.000214566,Yes
SLC44A5,-0.826980574,0.000215699,Yes
LINC00654,-0.650034178,0.00021571,Yes
TTLL11,-0.608747971,0.000215795,Yes
GPD1,-1.031029519,0.000216622,Yes
HBB,1.693459109,0.000219766,Yes
LRFN3,-0.578574383,0.000220386,Yes
SMCO4,0.725908111,0.000220883,Yes
HPR,1.892024281,0.000224219,Yes
TGFB2-OT1,0.989401911,0.000226225,Yes
TAMALIN-AS1,-1.012284945,0.00022639,Yes
SLC8A2,-0.949363852,0.0002271,Yes
GOLPH3L,0.566617299,0.000232336,Yes
EIF3H,0.453432865,0.000233092,Yes
TMED10,0.26494322,0.000233759,Yes
ANTXR2,0.702324403,0.000235461,Yes
ZC3HAV1,1.043547181,0.000237312,Yes
SMAD9,0.859567454,0.000240553,Yes
NEK2,-1.724392016,0.000241823,Yes
SCIN,2.112187683,0.000242693,Yes
